Case_ID,Date,Category,IPC_Sections,Brief crime detail
CH-22-0301,2022-06-28,Cheating,420,Visa fraud; agent promised Canada work permit and vanished.
CH-22-0323,2022-07-10,Assault,323,Clash between auto drivers at Egmore station stand.
CH-22-0345,2022-07-22,Kidnapping,363,Minor boy missing from playground in Tondiarpet; later found.
CH-22-0367,2022-08-05,Cyber Fraud,IT Act 66D,Matrimonial fraud; 'doctor' from UK asked for money for customs clearance.
CH-22-0389,2022-08-18,Theft,379,Expensive shoes stolen from outside residence in Poes Garden.
CH-22-0412,2022-08-30,Women Safety,498A,Dowry harassment complaint filed in Thousand Lights AWPS.
CH-22-0434,2022-09-12,Burglary,457 380,Shop shutter bent and cash box stolen in T. Nagar market.
CH-22-0456,2022-09-25,Cyber Fraud,420,Crypto investment scam on Telegram; promised 200% returns.
CH-22-0478,2022-10-08,Murder,302,Man found dead with head injuries near railway track in Perungudi.
CH-22-0501,2022-10-20,Robbery,392,Phone snatched from passenger in moving bus near Chromepet.
CH-22-0523,2022-11-02,Assault,324,Dispute over cricket match turned violent in Marina Beach ground.
CH-22-0545,2022-11-15,Theft,380,Handbag stolen from shopper in crowded Purasawalkam shop.
CH-22-0567,2022-11-28,Cyber Fraud,IT Act 66C,Email hacking; fraudulent invoice sent to client from compromised account.
CH-22-0589,2022-12-10,Women Safety,509,Stalking and harassment reported by nurse near hospital in Kilpauk.
CH-22-0612,2022-12-25,Cheating,420,Fake land documents used to sell plot in Guduvanchery.
CH-23-0012,2023-01-05,Cyber Fraud,420,Part-time job scam; 'movie rating' task led to loss of ₹1 lakh.
CH-23-0034,2023-01-18,Theft,379,Motorbike stolen from outside gym in Mogappair West.
CH-23-0056,2023-02-02,Robbery,392,Pizza delivery boy robbed in dark alley in Pallikaranai.
CH-23-0078,2023-02-15,Assault,307,Gang attack with knives in Otteri; victim hospitalized.
CH-23-0101,2023-03-01,Burglary,454,Daylight break-in at flat in Ashok Nagar; CCTV covered by thieves.
CH-23-0123,2023-03-14,Cyber Fraud,IT Act 66D,FedEx scam; 'illegal parcel' threat used to extort money.
CH-23-0145,2023-03-28,Murder,302,Real estate broker killed over commission dispute in Avadi.
CH-23-0167,2023-04-10,Women Safety,354,Molestation reported in crowded suburban train near Guindy.
CH-23-0189,2023-04-22,Cheating,406,Rental car stolen by customer using fake ID in Sholinganallur.
CH-23-0212,2023-05-05,Theft,379,Sandalwood tree cut and stolen from private bungalow in Boat Club.
CH-23-0234,2023-05-18,Cyber Fraud,420,AePS fraud; money deducted via biometric spoofing without OTP.
CH-23-0256,2023-06-01,Robbery,397,Jewellery shop heist attempt in Mylapore; offenders fled on bike.
CH-23-0278,2023-06-15,Assault,323,Fight between college students at bus stop in Aminjikarai.
CH-23-0301,2023-06-28,Domestic Violence,498A,Complaint filed against alcoholic husband in Choolaimedu.
CH-23-0323,2023-07-12,Cyber Fraud,IT Act 66C,Instagram hacked to sell fake Bitcoin schemes to followers.
CH-23-0345,2023-07-25,Burglary,457,ATM tampering attempt in Red Hills; alarm triggered.
CH-23-0367,2023-08-08,Theft,380,Cash bag stolen from devotee at Kapaleeshwarar Temple.
CH-23-0389,2023-08-20,Murder,302 34,Double murder in Sowcarpet due to business rivalry.
CH-23-0412,2023-09-02,Cyber Fraud,420,Deepfake video call of 'friend' asking for emergency money.
CH-23-0434,2023-09-15,Robbery,392,Petrol bunk staff robbed of collection bag in Poonamallee.
CH-23-0456,2023-09-28,Assault,324,Dispute at construction site in Perumbakkam; supervisor attacked.
CH-23-0478,2023-10-10,Women Safety,354D,Online harassment; morphed photos used to blackmail student.
CH-23-0501,2023-10-22,Cheating,420,MLM scam busted in Vadapalani; 5 arrested for defrauding public.
CH-23-0523,2023-11-05,Narcotics,NDPS Act,Methamphetamine seizure worth ₹10 lakh in Phoenix Mall area.
CH-23-0545,2023-11-18,Cyber Fraud,IT Act 66D,Stock market trading scam; victim added to WhatsApp group and duped.
CH-23-0567,2023-12-01,Theft,379,Helmet and mirrors stolen from superbike in Besant Nagar.
CH-23-0589,2023-12-14,Burglary,454 380,Locked house in Adambakkam broken into; silver items stolen.
CH-23-0612,2023-12-28,Murder,302,Watchman found dead at site in Medavakkam; robbery suspected.
CH-24-0012,2024-01-08,Cyber Fraud,420,Digital Arrest scam; victim held on Skype call by fake 'CBI' for 12 hours.
CH-24-0034,2024-01-20,Theft,379,Car stereo system stolen from vehicle parked in dark street in T. Nagar.
CH-24-0056,2024-02-02,Assault,323,Road rage between food delivery agent and car driver in Anna Nagar.
CH-24-0078,2024-02-15,Robbery,392,Chain snatching by bike-borne duo in Valasaravakkam.
CH-24-0101,2024-03-01,Women Safety,354,Complaint against cab driver for inappropriate behavior during night ride.
CH-24-0123,2024-03-14,Cyber Fraud,IT Act 66D,AI Voice cloning scam; 'nephew in jail' plea used to extract funds.
CH-24-0145,2024-03-28,Burglary,457,Electronic shop shutter broken in Tambaram; mobiles stolen.
CH-24-0167,2024-04-10,Murder,302,Drunken dispute ended in murder in Slum Clearance board tenement.
CH-24-0189,2024-04-22,Cheating,420,Fake IPO allotment scam; investor lost ₹20 lakh.
CH-24-0212,2024-05-05,Theft,380,Wallet pickpocketed on crowded MTC bus route 29C.
CH-24-0234,2024-05-18,Cyber Fraud,420,Fake 'arrest warrant' email sent demanding crypto payment.
CH-24-0256,2024-06-01,Robbery,392,Woman walking dog threatened and robbed of chain in Adyar.
CH-24-0278,2024-06-14,Assault,324,Clash over water tanker supply in apartment complex in OMR.
CH-24-0301,2024-06-28,Women Safety,509,Stalking complaint filed by IT professional in Thoraipakkam.
CH-24-0323,2024-07-10,Cyber Fraud,IT Act 66C,Gaming app fraud; minor used parents' card for ₹2 lakh purchases.
CH-24-0345,2024-07-22,Burglary,454,House break-in at Madhavaram; fingerprints lifted from scene.
CH-24-0367,2024-08-05,Theft,379,Bicycle theft from metro station parking in Alandur.
CH-24-0389,2024-08-18,Murder,302,Man stabbed near TASMAC in Korattur late night.
CH-24-0412,2024-09-01,Cyber Fraud,420,Fake apartment rental listing on Facebook; deposit stolen.
CH-24-0434,2024-09-14,Robbery,397,Knife-point robbery of a couple on beach service road.
CH-24-0456,2024-09-28,Assault,323,Altercation at a petrol bunk over queue jumping in Saidapet.
CH-24-0478,2024-10-10,Cheating,406,Gold loan fraud; fake jewellery pledged in bank in Mylapore.
CH-24-0501,2024-10-25,Women Safety,498A,Dowry harassment case registered in Ambattur AWPS.
CH-24-0523,2024-11-08,Cyber Fraud,IT Act 66D,Sextortion scam; victim blackmailed after video call recording.
CH-24-0545,2024-11-20,Theft,379,Spare tyre stolen from SUV parked in T. Nagar.
CH-24-0567,2024-12-05,Burglary,457 380,Godown broken into in Manali; copper scraps stolen.
CH-24-0589,2024-12-15,Murder,302,Body found in bushes near Mudichur; investigation underway.
CH-24-0612,2024-12-28,Cyber Fraud,420,QR code scam at a tea shop; customer tricked into paying twice.
CH-21-0655,2021-01-10,Theft,379,Flower pots stolen from outside residence in Boat Club area.
CH-21-0689,2021-02-12,Assault,323,Scuffle between shopkeepers in Parry's Corner.
CH-21-0712,2021-03-08,Cyber Fraud,420,OLX scam selling fake camera lens; buyer duped.
CH-21-0734,2021-04-14,Robbery,392,Bag snatching from auto passenger in Egmore.
CH-21-0756,2021-05-20,Women Safety,354,Harassment reported in park in Anna Nagar.
CH-21-0778,2021-06-25,Burglary,454,Window grills cut and house entered in Villivakkam.
CH-21-0801,2021-07-30,Cyber Fraud,IT Act 66C,Facebook account cloning; requests for money sent to family.
CH-21-0823,2021-08-18,Theft,379,Manhole cover stolen from street in Royapettah.
CH-21-0845,2021-09-25,Murder,302,Drunken brawl ending in death in Kasimedu fishing harbour.
CH-21-0867,2021-10-12,Cheating,420,Fake gold coin sold to pawnbroker in Sowcarpet.
CH-21-0889,2021-11-08,Assault,324,Neighbors fighting over boundary wall in Pallavaram.
CH-21-0912,2021-12-15,Robbery,397,Mobile snatched at knife point near Central Station.
CH-22-0634,2022-01-15,Cyber Fraud,420,Paytm KYC scam call; victim shared OTP.
CH-22-0656,2022-02-10,Theft,380,Shoes stolen from temple entrance in Triplicane.
CH-22-0678,2022-03-05,Women Safety,509,Verbal abuse of woman driver in traffic in Nungambakkam.
CH-22-0701,2022-04-18,Burglary,457,Medical shop broken into; cash register emptied.
CH-22-0723,2022-05-12,Assault,307,Gang attack in North Chennai; victim critical.
CH-22-0745,2022-06-25,Cyber Fraud,IT Act 66D,Loan app agent harassment reported in Guindy.
CH-22-0767,2022-07-20,Robbery,392,Chain snatching in early morning in Velachery.
CH-22-0789,2022-08-15,Cheating,406,Money collected for chit fund and organizer fled.
CH-22-0812,2022-09-10,Murder,302,Wife murdered husband over illicit affair suspicion.
CH-22-0834,2022-10-05,Theft,379,Bicycle stolen from tuition center in West Mambalam.
CH-22-0856,2022-11-20,Cyber Fraud,420,Investment scam promising double returns in 1 month.
CH-22-0878,2022-12-12,Women Safety,498A,Domestic violence complaint in Chetpet.
CH-23-0634,2023-01-10,Assault,323,Road rage between biker and bus driver.
CH-23-0656,2023-02-14,Burglary,454,Locked flat in Virugambakkam burgled.
CH-23-0678,2023-03-20,Cyber Fraud,IT Act 66C,Credit card skimmed at petrol pump.
CH-23-0701,2023-04-25,Robbery,392,Phone snatching from jogger in Bessy Beach.
CH-23-0723,2023-05-30,Theft,379,Laptop stolen from coffee shop table in Alwarpet.
CH-23-0745,2023-06-12,Murder,302,Gang war victim found dead in Vyasarpadi.
CH-23-0767,2023-07-18,Cheating,420,Fake overseas job offer; money paid for visa.
CH-23-0789,2023-08-22,Cyber Fraud,420,AePS fraud; biometric data misused.
CH-23-0812,2023-09-15,Women Safety,354D,Stalking by former colleague reported.
CH-23-0834,2023-10-08,Assault,324,Drunken fight outside bar in T. Nagar.
CH-23-0856,2023-11-12,Burglary,457 380,Jewellery shop wall drilled in Perambur.
CH-23-0878,2023-12-20,Robbery,397,Knife point robbery in subway near Central.
CH-24-0634,2024-01-15,Cyber Fraud,IT Act 66D,Digital Arrest scam; victim isolated for 6 hours.
CH-24-0656,2024-02-10,Theft,379,Car logo badges stolen in upscale area.
CH-24-0678,2024-03-05,Murder,302,Dispute over property led to murder in family.
CH-24-0701,2024-04-12,Women Safety,354,Molestation in public bus reported.
CH-24-0723,2024-05-18,Assault,323,Fight over parking in apartment complex.
CH-24-0745,2024-06-22,Cheating,420,Online trading scam; victim lost life savings.
CH-24-0767,2024-07-15,Robbery,392,Chain snatching from pillion rider.
CH-24-0789,2024-08-10,Burglary,454,Daytime break-in at teacher's house.
CH-24-0812,2024-09-05,Cyber Fraud,420,Deepfake voice scam of relative in trouble.
CH-24-0834,2024-10-18,Theft,380,Phone stolen from bag in market.
CH-24-0856,2024-11-25,Assault,307,Stabbing incident during festival procession.
CH-24-0878,2024-12-10,Women Safety,509,Harassment on social media reported.
CH-24-0901,2024-12-22,Narcotics,NDPS Act,Ganja peddling near school; arrest made.
CH-21-0955,2021-01-05,Theft,379,Battery stolen from truck parked on highway.
CH-21-0988,2021-02-22,Assault,323,Scuffle over ticket queue at cinema.
CH-21-1012,2021-03-15,Cyber Fraud,420,Fake charity for covid relief; money collected.
CH-21-1034,2021-04-10,Robbery,392,Bag snatching in dark street in Kilpauk.
CH-21-1056,2021-05-18,Women Safety,354,Inappropriate touch in crowded market.
CH-21-1078,2021-06-12,Burglary,457,Office broken into; laptops stolen.
CH-21-1101,2021-07-25,Cheating,420,Fake insurance policy sold to elderly.
CH-21-1123,2021-08-14,Murder,302,Drunken brawl near wine shop.
CH-21-1145,2021-09-05,Cyber Fraud,IT Act 66C,Email account compromised; spam sent.
CH-21-1167,2021-10-20,Theft,379,Cycle stolen from park entrance.
CH-21-1189,2021-11-15,Assault,324,Fight between students of rival colleges.
CH-21-1212,2021-12-08,Robbery,397,Threatened with knife for wallet.
CH-22-0901,2022-01-12,Cyber Fraud,420,Job scam; data entry work fraud.
CH-22-0923,2022-02-25,Women Safety,498A,Dowry demand by in-laws.
CH-22-0945,2022-03-18,Burglary,454,House break-in; TV and cash stolen.
CH-22-0967,2022-04-10,Theft,379,Car mirror stolen in Adyar.
CH-22-0989,2022-05-22,Assault,323,Road rage incident in traffic.
CH-22-1012,2022-06-15,Murder,302,Found dead in suspicious circumstances.
CH-22-1034,2022-07-08,Cyber Fraud,IT Act 66D,Loan app blackmail reported.
CH-22-1056,2022-08-20,Robbery,392,Chain snatching in T. Nagar.
CH-22-1078,2022-09-12,Cheating,406,Chit fund fraud.
CH-22-1101,2022-10-25,Women Safety,509,Verbal harassment in public place.
CH-22-1123,2022-11-14,Theft,380,Phone stolen from pocket in bus.
CH-22-1145,2022-12-05,Cyber Fraud,420,Online shopping scam; stone delivered.
CH-23-0901,2023-01-15,Assault,324,Attacked with sharp object in fight.
CH-23-0923,2023-02-20,Burglary,457,Shop shutter broken; cash stolen.
CH-23-0945,2023-03-10,Cyber Fraud,IT Act 66C,Card skimming at ATM.
CH-23-0967,2023-04-15,Robbery,397,Armed robbery attempt in house.
CH-23-0989,2023-05-22,Women Safety,354D,Stalking by stranger.
CH-23-1012,2023-06-08,Murder,302,Killed over financial dispute.
CH-23-1034,2023-07-20,Theft,379,Motorbike theft from street.
CH-23-1056,2023-08-12,Cheating,420,Land fraud; double registration.
CH-23-1078,2023-09-25,Cyber Fraud,420,AePS unauthorized withdrawal.
CH-23-1101,2023-10-18,Assault,323,Fight in restaurant over bill.
CH-23-1123,2023-11-05,Burglary,454,Flat break-in; jewels stolen.
CH-23-1145,2023-12-10,Robbery,392,Phone snatching on bike.
CH-24-0923,2024-01-20,Cyber Fraud,IT Act 66D,Digital Arrest scam; money paid.
CH-24-0945,2024-02-15,Theft,380,Bag stolen in train.
CH-24-0967,2024-03-10,Women Safety,354,Molestation complaint in mall.
CH-24-0989,2024-04-22,Assault,307,Stabbing during argument.
CH-24-1012,2024-05-15,Murder,302,Body found near lake.
CH-24-1034,2024-06-08,Cyber Fraud,420,AI voice scam of relative.
CH-24-1056,2024-07-20,Robbery,397,Knife point robbery on road.
CH-24-1078,2024-08-12,Burglary,457,ATM break-in attempt.
CH-24-1101,2024-09-25,Cheating,420,Investment app scam.
CH-24-1123,2024-10-10,Theft,379,Scooter stolen from parking.
CH-24-1145,2024-11-15,Women Safety,498A,Harassment for dowry.
CH-24-1167,2024-12-05,Cyber Fraud,IT Act 66C,Social media hack.
CH-24-1189,2024-12-20,Assault,323,Road rage fight.
